,frame_id,coord,tracklet_id
226,44,[608.29426027 496.98325635],5
227,44,[493.16977927 246.42112003],4
228,45,[362.43737682 362.1069112 ],1
229,45,[823.92987093 322.98897711],2
230,45,[540.26072469 273.71754177],3
231,45,[618.40783987 493.55199335],5
232,45,[500.68744063 252.33098831],4
233,46,[363.01478117 365.1545325 ],1
234,46,[824.19569517 324.18589924],2
235,46,[540.64277094 271.6344642 ],3
236,46,[616.01236643 490.96786427],5
237,47,[361.80235079 365.31298277],1
238,47,[823.56436006 323.06511599],2
239,47,[540.95411024 271.21566516],3
240,47,[616.51879707 489.57139774],5
241,48,[359.7410714  366.19282558],1
242,48,[822.95832316 323.07326669],2
243,48,[542.41846971 271.81598417],3
244,48,[625.98135578 490.08336371],5
245,49,[358.97044489 360.7988497 ],1
246,49,[821.87942006 323.62954858],2
247,49,[543.10093821 271.51632714],3
248,49,[629.86102624 490.47568102],5
249,49,[496.60087336 271.42450562],4
250,50,[362.79804782 357.5801727 ],1
251,50,[824.33178035 323.32966529],2
252,50,[542.35662594 268.15220972],3
253,50,[629.81284804 490.28754031],5
254,50,[487.14974154 270.80783467],4
255,51,[363.930144   355.28204349],1
256,51,[822.47344394 314.78608634],2
257,51,[543.23339997 267.43723397],3
258,51,[625.79688329 489.26913615],5
259,51,[483.92854568 274.96353883],4
260,52,[363.03731085 355.93298335],1
261,52,[821.63205771 308.80815507],2
262,52,[546.32582466 267.28290443],3
263,52,[618.79822813 488.50900023],5
